Date,Day,Holiday
1 January 2025,Wednesday,New Year's Day
2 January 2025,Thursday,2nd January
18 April 2025,Friday,Good Friday
5 May 2025,Monday,Early May
26 May 2025,Monday,Spring
4 August 2025,Monday,Summer
1 December 2025*,Monday,St Andrew's Day
25 December 2025,Thursday,Christmas Day
26 December 2025,Friday,Boxing Day
1 January 2024,Monday,New Year's Day
2 January 2024,Tuesday,2nd January
29 March 2024,Friday,Good Friday
6 May 2024,Monday,Early May
27 May 2024,Monday,Spring
5 August 2024,Monday,Summer
2 December 2024*,Monday,St Andrew's Day
25 December 2024,Wednesday,Christmas Day
26 December 2024,Thursday,Boxing Day
3 January 2023*,Tuesday,New Year's Day
2 January 2023,Monday,2nd January
7 April 2023,Friday,Good Friday
1 May 2023,Monday,Early May
8 May 2023,Monday,Coronation
29 May 2023,Monday,Spring
7 August 2023,Monday,Summer
30 November 2023,Thursday,St Andrew's Day
25 December 2023,Monday,Christmas Day
26 December 2023,Tuesday,Boxing Day
